seq_ID,index,MACS_ct,FACS1_ct,FACS2_ct,MACS_hasread,FACS1_hasread,FACS2_hasread,MACS_normct,MACS_logct,FACS1_normct,FACS1_logct,FACS2_normct,FACS2_logct,FACS1_MACS_logratio,FACS2_MACS_logratio,FACS2_FACS1_logratio,FACS1_MACS_enriched,FACS1_MACS_split,FACS2_MACS_enriched,FACS2_MACS_split,FACS2_FACS1_enriched,FACS2_FACS1_split
V2/fil5_filabund1_69,69,417,47,32,True,True,True,452.2085017367192,2.6553387230306487,84.74805485182614,1.9281297390071208,74.35946293877892,1.8713362444192927,-0.7272089840235278,-0.784002478611356,-0.05679349458782812,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_70,70,416,72,43,True,True,True,451.1240688788374,2.654295998683634,129.82680743258473,2.1133643775026716,99.92052832398419,1.9996547216789733,-0.5409316211809623,-0.6546412770046606,-0.1137096558236983,0.0,train,0.0,test,0.0,test
V2/fil5_filabund1_71,71,411,36,20,True,True,True,445.7019045894283,2.6490444899329604,64.91340371629236,1.8123343818386906,46.47466433673683,1.667216261763368,-0.8367101080942698,-0.9818282281695925,-0.14511812007532265,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_72,72,406,96,52,True,True,True,440.27974030001917,2.6437287016340854,173.10240991011295,2.2383031141109715,120.83412727551575,2.082189609734186,-0.40542558752311386,-0.5615390918998995,-0.15611350437678562,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_73,73,405,82,47,True,True,True,439.1953074421374,2.64265769127156,147.85830846488815,2.1698457334551198,109.21546119133154,2.0382841240351044,-0.47281195781644003,-0.6043735672364554,-0.13156160942001538,0.0,train,0.0,test,0.0,test
V2/fil5_filabund1_74,74,405,34,80,True,True,True,439.1953074421374,2.64265769127156,61.30710350983168,1.7875107981136584,185.89865734694732,2.26927625309133,-0.8551468931579014,-0.3733814381802296,0.48176545497767176,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_75,75,403,58,41,True,True,True,437.0264417263737,2.6405077141980007,104.58270598735992,2.0194598746343404,95.2730618903105,1.9789701228191223,-0.6210478395636603,-0.6615375913788784,-0.04048975181521808,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_76,76,399,28,47,True,True,True,432.68871029484643,2.6361755637436395,50.488202890449614,1.7031899124136225,109.21546119133154,2.0382841240351044,-0.932985651330017,-0.5978914397085351,0.3350942116214819,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_77,77,398,53,46,True,True,True,431.60427743696465,2.635085740130579,95.5669554712082,1.9803077506721922,106.8917279744947,2.0289440977809607,-0.6547779894583869,-0.6061416423496184,0.04863634710876852,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_78,78,397,146,37,True,True,True,430.5198445790828,2.6339931748200063,263.25991507163013,2.42038473685584,85.97812902296313,1.9343879901663819,-0.21360843796416606,-0.6996051846536244,-0.48599674668945836,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_79,79,397,31,48,True,True,True,430.5198445790828,2.6339931748200063,55.897653200140645,1.747393574905676,111.53919440816838,2.047427503474974,-0.8865995999143303,-0.5865656713450322,0.3000339285692981,0.0,test,0.0,train,1.0,train
V2/fil5_filabund1_80,80,396,345,110,True,True,True,429.435411721201,2.6328978539824037,622.0867856144685,2.7938509761446775,255.61065385205256,2.407578951257612,0.16095312216227375,-0.22531890272479194,-0.3862720248870657,1.0,train,0.0,train,0.0,train
V2/fil5_filabund1_82,82,395,49,56,True,True,True,428.35097886331914,2.6317997636833517,88.35435505828683,1.946227961099917,130.12906014286312,2.114374293105587,-0.6855718025834348,-0.5174254705777646,0.1681463320056702,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_81,81,395,36,49,True,True,True,428.35097886331914,2.6317997636833517,64.91340371629236,1.8123343818386906,113.86292762500523,2.0563823461279003,-0.8194653818446611,-0.5754174175554514,0.24404796428920972,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_83,83,393,105,34,True,True,True,426.1821131475555,2.629595218432318,189.33076083918607,2.2772211801413413,79.0069293724526,1.8976651831416418,-0.3523740382909768,-0.7319300352906764,-0.37955599699969955,0.0,train,0.0,test,0.0,test
V2/fil5_filabund1_84,84,393,43,30,True,True,True,426.1821131475555,2.629595218432318,77.53545443890476,1.8895003366509897,69.71199650510525,1.8433075208190492,-0.7400948817813284,-0.7862876976132689,-0.04619281583194046,0.0,test,0.0,train,0.0,train
V2/fil5_filabund1_85,85,390,100,125,True,True,True,422.9288145739101,2.6262672750833906,180.31501032303433,2.256031881071403,290.4666521046052,2.463096279107443,-0.3702353940119876,-0.16317099597594753,0.20706439803604004,0.0,test,0.0,test,1.0,test
V2/fil5_filabund1_87,87,389,105,43,True,True,True,421.84438171602824,2.625152269382599,189.33076083918607,2.2772211801413413,99.92052832398419,1.9996547216789733,-0.3479310892412575,-0.6254975477036255,-0.27756645846236805,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_86,86,389,27,46,True,True,True,421.84438171602824,2.625152269382599,48.68505278721927,1.6873956452303904,106.8917279744947,2.0289440977809607,-0.9377566241522084,-0.5962081716016381,0.3415484525505703,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_88,88,388,35,47,True,True,True,420.7599488581464,2.6240343936510984,63.11025361306202,1.800099925421679,109.21546119133154,2.0382841240351044,-0.8239344682294194,-0.585750269615994,0.23818419861342544,0.0,test,0.0,train,1.0,train
V2/fil5_filabund1_90,90,383,65,140,True,True,True,415.33778456873733,2.618401442025514,117.20475670997232,2.0689452377142588,325.3226503571578,2.5123143017776246,-0.5494562043112552,-0.10608714024788934,0.44336906406336585,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_89,89,383,26,35,True,True,True,415.33778456873733,2.618401442025514,46.881902683988926,1.6710052290422213,81.33066258928945,1.9102543104496623,-0.9473962129832927,-0.7081471315758516,0.23924908140744106,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_91,91,382,84,43,True,True,True,414.2533517108555,2.6172660309686,151.46460867134886,2.180311167133285,99.92052832398419,1.9996547216789733,-0.4369548638353149,-0.6176113092896267,-0.1806564454543118,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_92,92,382,54,43,True,True,True,414.2533517108555,2.6172660309686,97.37010557443854,1.9884256408943717,99.92052832398419,1.9996547216789733,-0.6288403900742283,-0.6176113092896267,0.011229080784601608,0.0,train,0.0,test,1.0,test
